"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"4635","PrepaTec - Botbusters","true","1618","1705","45","9.5","28.1","7.5","0.63","-0.11","0.4","1"
"6348","PrepaTec - HORUS","true","1542","1614","33.9","4.5","27.9","1.4","0.24","-0.12","0.1","2"
"4403","PrepaTec - ROULT - Peñoles","true","1597","1682","42","4.5","29.7","7.7","0.16","-0.12","0.5","3"
"6106","PrepaTec - TecGear","true","1463","1506","22.2","3.2","18","1","0.09","-0.13","0","4"
"8290","Jaegers60 - Peñoles","true","1431","1460","17.4","3.5","11.2","2.7","0.17","-0.13","0.1","5"
"7421","PrepaTec - OVERTURE","true","1514","1576","29.7","5.6","22.6","1.5","0.18","-0.12","0","6"
"3526","PrepaTec - Blue Ignition","true","1454","1493","20.9","4.2","14.9","1.8","0.12","-0.12","0.1","7"
"3472","PrepaTec - Buluk","true","1435","1466","18.1","4.9","12.2","1","0.27","-0.13","0.1","8"
"7102","PrepaTec - Daedalus","true","1471","1517","23.3","3.8","18","1.5","0.1","-0.12","0","9"
"5887","PrepaTec IMPERATOR","true","1415","1437","15.1","3.3","9.1","2.7","0.08","-0.12","0.2","10"
"7546","Prepa Tec - MinerZ","true","1437","1469","18.3","2.4","13.9","2","-0.05","-0.12","0.1","11"
"4010","PrepaTec - Nautilus","true","1390","1400","11.4","4.4","6","1","0.23","-0.12","0.1","12"
"3480","PrepaTec - ABTOMAT","true","1474","1521","23.8","3.2","18.1","2.5","-0.06","-0.12","0.1","13"
"6017","PrepaTec - Cyberius","true","1526","1592","31.5","3.7","23.7","4.1","0.13","-0.12","0.1","14"
"6647","PrepaTec - VOLTEC Robotics","true","1512","1573","29.4","3","25.1","1.3","0.1","-0.12","0.2","15"
"2283","Panteras","true","1471","1517","23.3","4.2","17.7","1.4","0.15","-0.12","0","16"
"10580","LGTBots by STEAMex","true","1359","1354","6.9","2.3","3.4","1.2","0.04","-0.13","0","17"
"5705","DESERT EAGLES - JOHN DEERE","true","1417","1440","15.4","3.1","10","2.3","-0.04","-0.12","0","18"
"3933","PrepaTec - Taman Keet","true","1464","1508","22.4","2.6","18.1","1.7","0.02","-0.12","0","19"
"8740","Prepa Tecmilenio - Quantum ...","true","1388","1397","11.1","1.9","6.9","2.3","0.02","-0.13","0.1","20"
"6170","Prepa Tecmilenio Vitronik","true","1441","1474","18.9","3.4","14.2","1.3","0","-0.12","-0.1","21"
"3158","PrepaTec - TECBOT","true","1535","1604","32.8","4.7","27","1.1","0.11","-0.12","-0.1","22"
"5959","PrepaTec - Titanium Rams","true","1481","1531","24.8","3.9","18.1","2.9","0.15","-0.12","0.2","23"
"9301","PrepaTec Chihuahua - MechRams","true","1453","1492","20.7","2.7","12.4","5.5","-0.04","-0.12","0.3","24"
"4775","Aztech Robotics","true","1406","1425","13.8","2.4","10.9","0.5","0.09","-0.12","-0.1","25"
"4584","SentinelFox Engineering","true","1446","1483","19.7","3","15","1.8","0","-0.12","-0.1","26"
"9053","Prepa Tecmilenio - Iron Hawks","true","1336","1319","3.4","2.5","-0.1","1","0.1","-0.13","0","27"
"3522","CBoT´S4","true","1470","1516","23.2","2.7","19.5","1.1","-0.1","-0.12","0.2","28"
"10225","Prepa Tecmilenio - PYROX","true","1401","1417","13.1","2.8","8.9","1.5","0.13","-0.12","0","29"
"3527","PrepaTec - Balam Esmeralda","true","1416","1440","15.3","3.3","11.1","1","0.16","-0.13","0","30"
"6676","Prepa Tecmilenio - Thunder ...","true","1409","1429","14.3","1.8","11.1","1.4","-0.11","-0.13","0.1","31"
"8741","Prepa Tecmilenio - Raccoons","true","1383","1390","10.4","2","5.7","2.6","-0.01","-0.13","0.1","32"
"5932","Prepa Tecmilenio - Quetzales","true","1363","1361","7.5","3.2","3.4","0.9","0.05","-0.13","-0.1","33"
"4731","MONARCH-E","true","1411","1431","14.5","3.1","10.5","0.9","0.05","-0.13","0","34"
"4977","Iron Lion","true","1413","1434","14.8","1.7","11.8","1.3","-0.05","-0.12","0","35"
"7725","PrepaTec - NUTS & VOLTS","true","1350","1341","5.5","2.1","3.9","-0.4","-0.14","-0.13","-0.1","36"
"10529","BATS-01","true","1387","1397","11.1","1.3","7.9","1.8","-0.01","-0.12","0","37"
"4371","Prepa Tecmilenio - ART 4371","true","1374","1377","9.1","2.6","5.9","0.5","-0.13","-0.13","0","38"
"3794","Prepa Tecmilenio WinT","true","1380","1385","9.9","2.5","5.7","1.8","-0.11","-0.12","0","39"
"6652","Tigres","true","1369","1370","8.4","0.8","7.1","0.5","-0.09","-0.12","-0.1","40"
"9282","PrepaTec- SINAVOLT","true","1381","1388","10.2","1.8","7.7","0.8","-0.08","-0.12","-0.1","41"
"9065","Prepa Tecmilenio - SpaceHawks","true","1344","1332","4.7","3.1","0.2","1.4","-0.03","-0.13","-0.1","42"
"6606","Prepa Tecmilenio Pink Hawks...","true","1340","1327","4.1","1","1.5","1.7","-0.14","-0.13","0","43"
